Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,1.11993,1.12021,1.11923,1.1194,0,0
2014-10-13,02:00:00,1.11946,1.11963,1.11858,1.11867,0,0
2014-10-13,03:00:00,1.11869,1.12014,1.11856,1.11904,0,0
2014-10-13,04:00:00,1.11904,1.12001,1.11812,1.11994,0,0
2014-10-13,05:00:00,1.11994,1.12007,1.11821,1.12004,0,0
2014-10-13,06:00:00,1.12004,1.12044,1.1195,1.11952,0,0
2014-10-13,07:00:00,1.11952,1.12018,1.11934,1.11987,0,0
2014-10-13,08:00:00,1.11987,1.12044,1.11953,1.11993,0,0
2014-10-13,09:00:00,1.11994,1.12105,1.11951,1.12096,0,0
2014-10-13,10:00:00,1.12105,1.12186,1.12104,1.12121,0,0
2014-10-13,11:00:00,1.12121,1.12146,1.12014,1.12022,0,0
2014-10-13,12:00:00,1.12022,1.12091,1.12004,1.12015,0,0
2014-10-13,13:00:00,1.12016,1.12032,1.11934,1.12008,0,0
2014-10-13,14:00:00,1.12008,1.12069,1.11941,1.12067,0,0
2014-10-13,15:00:00,1.12068,1.12135,1.1206,1.12078,0,0
2014-10-13,16:00:00,1.12079,1.12095,1.11866,1.11966,0,0
2014-10-13,17:00:00,1.11965,1.12121,1.11941,1.12112,0,0
2014-10-13,18:00:00,1.12105,1.12148,1.11862,1.11934,0,0
2014-10-13,19:00:00,1.11934,1.12096,1.11932,1.12047,0,0
2014-10-13,20:00:00,1.12047,1.12059,1.11883,1.11905,0,0
2014-10-13,21:00:00,1.11905,1.12024,1.11899,1.12022,0,0
2014-10-13,22:00:00,1.12021,1.12049,1.11958,1.12046,0,0
2014-10-13,23:00:00,1.12046,1.12049,1.1184,1.11971,0,0
2014-10-13,23:59:00,1.11971,1.1199,1.11892,1.11903,0,0
2014-10-14,01:00:00,1.11907,1.11943,1.11888,1.11939,0,0
2014-10-14,02:00:00,1.11939,1.12064,1.11933,1.12064,0,0
2014-10-14,03:00:00,1.12056,1.12137,1.12053,1.12074,0,0
2014-10-14,04:00:00,1.12073,1.12097,1.11957,1.11966,0,0
2014-10-14,05:00:00,1.11966,1.11986,1.11915,1.11964,0,0
2014-10-14,06:00:00,1.11966,1.12074,1.1196,1.12064,0,0
2014-10-14,07:00:00,1.12064,1.12099,1.12042,1.1206,0,0
2014-10-14,08:00:00,1.1206,1.12115,1.11998,1.12113,0,0
2014-10-14,09:00:00,1.12114,1.1227,1.12084,1.12263,0,0
