Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,107.478,107.52,107.257,107.298,0,0
2014-10-13,02:00:00,107.298,107.389,107.291,107.336,0,0
2014-10-13,03:00:00,107.336,107.385,107.177,107.243,0,0
2014-10-13,04:00:00,107.243,107.244,107.072,107.158,0,0
2014-10-13,05:00:00,107.156,107.171,107.059,107.127,0,0
2014-10-13,06:00:00,107.126,107.221,107.101,107.149,0,0
2014-10-13,07:00:00,107.149,107.208,107.103,107.18,0,0
2014-10-13,08:00:00,107.18,107.254,107.141,107.218,0,0
2014-10-13,09:00:00,107.218,107.389,107.17,107.357,0,0
2014-10-13,10:00:00,107.363,107.471,107.308,107.321,0,0
2014-10-13,11:00:00,107.322,107.571,107.259,107.513,0,0
2014-10-13,12:00:00,107.513,107.537,107.328,107.359,0,0
2014-10-13,13:00:00,107.358,107.401,107.277,107.365,0,0
2014-10-13,14:00:00,107.365,107.368,107.209,107.241,0,0
2014-10-13,15:00:00,107.241,107.322,107.172,107.28,0,0
2014-10-13,16:00:00,107.28,107.394,107.195,107.297,0,0
2014-10-13,17:00:00,107.297,107.359,107.178,107.344,0,0
2014-10-13,18:00:00,107.337,107.434,107.308,107.372,0,0
2014-10-13,19:00:00,107.369,107.497,107.346,107.459,0,0
2014-10-13,20:00:00,107.455,107.467,107.311,107.34,0,0
2014-10-13,21:00:00,107.34,107.376,107.303,107.317,0,0
2014-10-13,22:00:00,107.315,107.327,107.072,107.089,0,0
2014-10-13,23:00:00,107.088,107.095,106.774,106.822,0,0
2014-10-13,23:59:00,106.822,106.982,106.753,106.979,0,0
2014-10-14,01:00:00,106.977,107.047,106.925,106.993,0,0
2014-10-14,02:00:00,106.994,107.093,106.934,107.056,0,0
2014-10-14,03:00:00,107.055,107.184,107.051,107.077,0,0
2014-10-14,04:00:00,107.077,107.241,107.061,107.207,0,0
2014-10-14,05:00:00,107.207,107.299,107.196,107.235,0,0
2014-10-14,06:00:00,107.236,107.253,107.119,107.217,0,0
2014-10-14,07:00:00,107.217,107.272,107.112,107.155,0,0
2014-10-14,08:00:00,107.155,107.197,107.03,107.197,0,0
2014-10-14,09:00:00,107.197,107.197,107.063,107.144,0,0
2014-10-14,10:00:00,107.144,107.305,107.112,107.233,0,0
2014-10-14,11:00:00,107.243,107.295,106.918,106.958,0,0
2014-10-14,12:00:00,106.958,106.962,106.803,106.826,0,0
2014-10-14,13:00:00,106.828,106.999,106.799,106.872,0,0
2014-10-14,14:00:00,106.866,106.888,106.669,106.873,0,0
2014-10-14,15:00:00,106.872,107.122,106.861,106.959,0,0
2014-10-14,16:00:00,106.96,107.175,106.936,106.983,0,0
2014-10-14,17:00:00,106.983,107.086,106.889,107.054,0,0
2014-10-14,18:00:00,107.055,107.188,106.981,107.152,0,0
2014-10-14,19:00:00,107.152,107.179,107.04,107.052,0,0
2014-10-14,20:00:00,107.055,107.098,107.018,107.058,0,0
2014-10-14,21:00:00,107.059,107.103,106.918,106.933,0,0
2014-10-14,22:00:00,106.933,107.059,106.843,107.012,0,0
2014-10-14,23:00:00,107.008,107.06,106.98,107.046,0,0
2014-10-14,23:59:00,107.045,107.168,107.041,107.13,0,0
2014-10-15,01:00:00,107.128,107.317,107.119,107.245,0,0
2014-10-15,02:00:00,107.245,107.4,107.224,107.314,0,0
2014-10-15,03:00:00,107.314,107.319,107.218,107.244,0,0
2014-10-15,04:00:00,107.24,107.243,107.07,107.09,0,0
2014-10-15,05:00:00,107.092,107.18,107.042,107.075,0,0
2014-10-15,06:00:00,107.075,107.261,107.063,107.196,0,0
2014-10-15,07:00:00,107.194,107.326,107.193,107.259,0,0
2014-10-15,08:00:00,107.259,107.346,107.194,107.298,0,0
2014-10-15,09:00:00,107.298,107.491,107.245,107.464,0,0
2014-10-15,10:00:00,107.466,107.466,107.229,107.23,0,0
2014-10-15,11:00:00,107.23,107.298,107.09,107.162,0,0
2014-10-15,12:00:00,107.161,107.34,107.103,107.327,0,0
2014-10-15,13:00:00,107.327,107.337,107.2,107.218,0,0
2014-10-15,14:00:00,107.218,107.222,106.888,106.932,0,0
2014-10-15,15:00:00,106.93,107.023,106.2,106.282,0,0
2014-10-15,16:00:00,106.282,106.38,105.198,106.243,0,0
2014-10-15,17:00:00,106.239,106.397,105.936,106.214,0,0
2014-10-15,18:00:00,106.214,106.308,105.948,106.071,0,0
2014-10-15,19:00:00,106.07,106.09,105.594,105.82,0,0
2014-10-15,20:00:00,105.82,105.992,105.679,105.844,0,0
2014-10-15,21:00:00,105.844,106.081,105.765,106.002,0,0
2014-10-15,22:00:00,106.004,106.261,105.975,106.089,0,0
2014-10-15,23:00:00,106.089,106.098,105.833,105.903,0,0
2014-10-15,23:59:00,105.903,106.085,105.863,106.052,0,0
2014-10-16,01:00:00,106.052,106.052,105.823,105.991,0,0
2014-10-16,02:00:00,105.991,106.055,105.955,106.004,0,0
2014-10-16,03:00:00,106.004,106.08,105.75,106.049,0,0
2014-10-16,04:00:00,106.05,106.063,105.844,106.002,0,0
2014-10-16,05:00:00,106.003,106.169,105.929,106.01,0,0
2014-10-16,06:00:00,106.008,106.108,105.975,106.081,0,0
2014-10-16,07:00:00,106.081,106.212,106.078,106.125,0,0
2014-10-16,08:00:00,106.123,106.177,106.075,106.126,0,0
2014-10-16,09:00:00,106.126,106.326,106.092,106.229,0,0
2014-10-16,10:00:00,106.229,106.29,105.884,105.912,0,0
2014-10-16,11:00:00,105.91,106.047,105.788,105.935,0,0
2014-10-16,12:00:00,105.935,105.95,105.535,105.792,0,0
2014-10-16,13:00:00,105.791,105.8,105.526,105.672,0,0
2014-10-16,14:00:00,105.672,105.804,105.503,105.8,0,0
2014-10-16,15:00:00,105.799,105.909,105.625,105.677,0,0
2014-10-16,16:00:00,105.675,106.08,105.644,106.039,0,0
2014-10-16,17:00:00,106.038,106.246,105.86,106.088,0,0
2014-10-16,18:00:00,106.088,106.205,105.958,105.979,0,0
2014-10-16,19:00:00,105.98,106.113,105.919,106.079,0,0
2014-10-16,20:00:00,106.076,106.304,106.076,106.155,0,0
2014-10-16,21:00:00,106.158,106.234,106.086,106.157,0,0
2014-10-16,22:00:00,106.157,106.457,106.126,106.364,0,0
2014-10-16,23:00:00,106.365,106.383,106.278,106.323,0,0
2014-10-16,23:59:00,106.323,106.331,106.268,106.277,0,0
2014-10-17,01:00:00,106.28,106.384,106.28,106.356,0,0
2014-10-17,02:00:00,106.357,106.489,106.357,106.439,0,0
2014-10-17,03:00:00,106.434,106.441,106.222,106.319,0,0
2014-10-17,04:00:00,106.325,106.411,106.245,106.34,0,0
2014-10-17,05:00:00,106.34,106.359,106.234,106.327,0,0
2014-10-17,06:00:00,106.313,106.325,106.132,106.157,0,0
2014-10-17,07:00:00,106.157,106.315,106.149,106.24,0,0
2014-10-17,08:00:00,106.244,106.261,106.147,106.209,0,0
2014-10-17,09:00:00,106.209,106.323,106.14,106.271,0,0
2014-10-17,10:00:00,106.271,106.437,106.158,106.414,0,0
2014-10-17,11:00:00,106.414,106.592,106.414,106.508,0,0
2014-10-17,12:00:00,106.503,106.556,106.419,106.503,0,0
2014-10-17,13:00:00,106.503,106.616,106.477,106.478,0,0
2014-10-17,14:00:00,106.478,106.61,106.358,106.386,0,0
2014-10-17,15:00:00,106.386,106.619,106.348,106.461,0,0
2014-10-17,16:00:00,106.461,106.71,106.453,106.665,0,0
2014-10-17,17:00:00,106.663,106.779,106.619,106.651,0,0
2014-10-17,18:00:00,106.651,106.77,106.631,106.718,0,0
2014-10-17,19:00:00,106.716,106.734,106.621,106.657,0,0
2014-10-17,20:00:00,106.657,106.704,106.621,106.666,0,0
2014-10-17,21:00:00,106.671,106.7,106.578,106.681,0,0
2014-10-17,22:00:00,106.682,106.936,106.643,106.909,0,0
2014-10-17,23:00:00,106.906,106.909,106.906,106.909,0,0
2014-10-20,01:00:00,107.06,107.194,106.994,107.155,0,0
2014-10-20,02:00:00,107.155,107.232,107.14,107.158,0,0
2014-10-20,03:00:00,107.158,107.159,107.046,107.131,0,0
2014-10-20,04:00:00,107.131,107.253,107.113,107.192,0,0
2014-10-20,05:00:00,107.194,107.218,107.111,107.195,0,0
2014-10-20,06:00:00,107.195,107.387,107.19,107.368,0,0
2014-10-20,07:00:00,107.367,107.38,107.323,107.354,0,0
2014-10-20,08:00:00,107.354,107.361,107.227,107.248,0,0
2014-10-20,09:00:00,107.247,107.31,107.207,107.265,0,0
2014-10-20,10:00:00,107.267,107.268,106.997,107.064,0,0
2014-10-20,11:00:00,107.063,107.134,106.946,107.022,0,0
2014-10-20,12:00:00,107.02,107.175,107.014,107.144,0,0
2014-10-20,13:00:00,107.146,107.162,106.961,106.982,0,0
2014-10-20,14:00:00,106.977,106.977,106.811,106.843,0,0
2014-10-20,15:00:00,106.848,107.006,106.826,106.945,0,0
2014-10-20,16:00:00,106.944,106.96,106.79,106.9,0,0
2014-10-20,17:00:00,106.9,106.98,106.782,106.884,0,0
2014-10-20,18:00:00,106.884,106.93,106.833,106.872,0,0
